database_identifier,chemical_formula,smiles,inchi,metabolite_identification,mass_to_charge,fragmentation,modifications,charge,retention_time,taxid,species,database,database_version,reliability,uri,search_engine,search_engine_score,smallmolecule_abundance_sub,smallmolecule_abundance_stdev_sub,smallmolecule_abundance_std_error_sub,Breast_1,Breast_10,Breast_11,Breast_12,Breast_13,Breast_14,Breast_15,Breast_16,Breast_17,Breast_18,Breast_19,Breast_2,Breast_20,Breast_21,Breast_22,Breast_23,Breast_24,Breast_25,Breast_26,Breast_27,Breast_28,Breast_3,Breast_4,Breast_5,Breast_7,Breast_8,Breast_9,control_1,control_10,control_11,control_12,control_13,control_14,control_15,control_16,control_17,control_18,control_19,control_2,control_20,control_21,control_22,control_23,control_24,control_25,control_26,control_27,control_28,control_29,control_3,control_30,control_4,control_5,control_6,control_7,control_8,control_9,QC01,QC02,QC03,QC04,QC05,QC06,QC07
CHEBI:86595,C12H22O2,CCCCCC\C=C/CCCC(O)=O,"InChI=1S/C12H22O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h7-8H,2-6,9-11H2,1H3,(H,13,14)/b8-7-",5Z-Dodecenoic acid,197.1546223,,,,48.0472,,,,,,,,,,,,11547490.17,9908736.646,16807781.53,5078487.506,16348736.62,24114129.45,11594359.52,11977477.69,15803764.21,14099374.51,11592691.77,18586531.95,8265050.045,8221397.185,3591381.186,24729504.95,30632097.68,4728970.972,13932613.04,4488775.943,4761105.133,8709545.455,22559921.57,10358762.96,10804603.89,16040346.83,40952920.32,32104966.14,6677414.694,16102766.52,15959130.23,36027750.78,7241796.247,38870966.43,10862879.95,37975534.16,31950536.37,17939608.41,11682911.24,10785514.28,21446158.89,21247159.8,25209980.86,17688613.82,22907776.8,39523164.9,26566611.61,20382969.72,40905890.05,17636024.21,33484910.19,18100849.46,54779387.24,33402270.94,28591479.64,36967887.22,33877851.66,17031082.97,20294220.91,17423616.97,21384468.3,22470142.12,20834955.89,19935477.89
CHEBI:39448,C11H20O2,,,Undecylenic acid,183.1388187,,,,49.90135,,,,,,,,,,,,6837036.801,11190175.24,3189920.142,4610951.57,8231149.82,5707092.663,8602786.927,11578405.9,17575276.53,53835973.17,13919168.92,7700338.77,4352510.985,9707896.74,10417461.11,13710265,11227416.43,9850129.799,9058150.573,10885124.38,8912200.91,4736187.423,9327400.685,14637746.77,9393128.143,9577985.222,8766774.093,12217289.74,5875430.659,7887505.802,25332844.07,60122160.25,8920387.327,35656293.63,13983887.74,17873175.22,22881749.46,14440056.47,9584693.32,17876385.83,10552248.24,14112834.21,23282296.4,12368733.67,15991050.13,17390795.62,10416580.09,16906153.83,13891219.54,18843010.73,15009519.68,10044316.13,16913968.34,22550622.04,16122974.53,13164288.88,41085113.48,14166804.08,14259991.94,15072283.26,14319115.75,14883874.45,13850824.87,14564383.12
CHEBI:15428,C2H5NO2,NCC(O)=O,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",Glycine,74.02480782,,,,378.779,,,,,,,,,,,,2904223.747,1440269.561,2370742.788,1905101.108,2303067.132,1831833.928,2647020.803,2488894.16,2791139.392,1762974.347,1906428.442,1834611.644,2473058.207,2586671.845,1627376.099,1966214.849,1798732.906,1508501.48,3718421.033,1000232.417,1696201.566,1838628.456,2511152.256,2077715.255,3668528.844,2164829.917,1905695.947,1919881.99,1952133.02,1912292.855,2542518.017,2647197.9,2703359.203,2587087.729,2615759.876,3111166.215,2043616.897,1791407.543,1421965.35,3979619.054,2735098.45,2837313.212,1084879.115,2346609.055,1761000.193,2702084.689,2227745.056,2365421.203,2270987.629,2645651.326,1992683.662,2463275.4,4328900.997,2413993.998,2043948.308,2336876.048,1537048.587,2441692.226,2374867.815,2463756.683,2494835.039,2315420.005,2745017.835,2437559.344
CHEBI:32111,C7H5NO3S,O=C1NS(=O)(=O)c2ccccc12,"InChI=1S/C7H5NO3S/c9-7-5-3-1-2-4-6(5)12(10,11)8-7/h1-4H,(H,8,9)",Saccharin,181.9918388,,,,30.7864,,,,,,,,,,,,235177.6682,90152.28485,2061623.176,232367.2412,973739.0738,241755.1273,147541.6465,190351.4004,3236879.816,1503590.897,1097533.233,357443.1113,171335.2856,493821.2831,6144676.012,2874589.135,1431212.72,119036.4939,961336.8088,532418.0609,503161.3647,1256621.026,879215.1131,110561.1333,920699.1964,181923.2634,673771.6992,3184962.424,1647461.607,4163628.524,1033780.373,9537287.841,364239.4728,1233190.827,6798769.192,1214779.801,1217565.805,1118968.678,517608.7464,13182105.86,2748861.298,347549.5332,860052.4193,16373860.84,3064623.501,1717502.369,8990736.14,1850409.923,579772.274,140716150.4,852019.5772,2943812.459,204778.5155,553253.8553,6164326.515,11407195.2,12453678.08,5290215.306,5506104.481,5335980.859,5945451.811,5638015.735,5790342.923,5822323.418
CHEBI:35932,C6H10O3,CCC(C)C(=O)C(O)=O,"InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)",3-Methyl-2-oxovaleric acid,129.0555734,,,,57.7623,,,,,,,,,,,,2481828772,1853117897,3439822329,4964362465,2343447862,2816296060,2762533187,2166742920,3062973675,1919227615,2687870454,2175874411,2049813136,3106885806,3103508547,4582930854,2225324048,2067944826,2438938416,1874701911,2151130047,2250552938,1728714348,1679752132,2396300399,1460996171,3522321919,2739532218,3312882424,3287742412,2704024892,2584437350,2653200114,2566312934,2990998014,2821379026,2129157368,3010954338,4557422640,2822607357,3118084207,3300868481,2834178207,3677383688,2715327889,2845268707,2600269882,2550588340,3040288991,2351519049,3523970510,2158543778,2880708041,4055053963,2979664673,3451865368,3639939583,2873712188,2729324787,2833932361,2798302925,2769058772,3398600693,2703414206
CHEBI:17203,C5H9NO2,OC(=O)[C@@H]1CCCN1,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",L-Proline,114.0561,,,,324.2805,,,,,,,,,,,,28267403.47,18796002.99,33577663.85,37043722.04,20952509.88,19920736.57,17968418.34,20684712.77,21550699.88,13972547.7,25636351.53,19326678.67,22111703.22,40007641.08,23938596.53,24013969.1,22962029.38,22413511.57,22730226.06,11912676.35,30839212.95,28080532.02,19020058.71,22761676.87,17448915.14,15975124.55,17807568.86,22739208.65,31256868.32,18318994.7,28113848.69,23834264.7,29569031.91,15012161.34,21518347.06,18267479.23,25034977.52,48596114.65,20215768.15,27583412.54,17288097.89,20730855.41,12969057.32,24712498.99,20793412.78,24331671.4,23225050.03,20136155.29,14906232.76,34162911.14,17657684.57,24218546.15,22622010.12,26763701.09,24240772.5,25835061.91,20883772.74,24527268.9,25730456.39,25690664.68,24702637.57,24413533.55,25544414.71,25249549.08
CHEBI:17497,C2H4O3,OCC(O)=O,"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)",Glycolic acid,75.00877312,,,,317.797,,,,,,,,,,,,4385149.061,2926030.142,3233042.878,3328077.131,2978756.031,3011635.225,2988052.003,3057649.152,3412320.115,3068496.853,3303025.865,2958828.521,3364885.11,3243802.884,3563332.33,3254362.434,3232799.823,3240342.796,6407009.281,3229309.98,3213415.775,3154774.366,3120415.181,2997851.031,2752322.816,3097542.062,2966820.543,3240459.305,3205246.988,3113066.741,3140324.393,3525423.99,3061340.644,3321608.534,2796954.35,2927281.374,2992966.719,2959442.896,2983539.546,2921455.709,2953479.942,3095389.698,3009673.043,2965580.965,2944565.983,4052492.076,2904857.873,6086777.112,3163220.914,2994185.12,3239658.381,2914529.201,2973018.288,3110410.176,3015632.179,3131441.387,2999676.762,3379112.877,3380809.957,3154751.373,3123616.382,2855427.036,3569149.053,2946904.802
CHEBI:29019,C9H18O2,CCCCCCCCC(O)=O,"InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)",Pelargonic acid,157.1232737,,,,51.2852,,,,,,,,,,,,75356482.62,82045953.19,50183116.18,51734250.32,82755019.08,54437492.34,55585237.36,93283469.19,51621661.8,58352943.64,81431257.64,59375110.09,44550379.76,63257060.91,67617189.67,69597808.19,52935490.26,22294583.13,61758640.18,70178419.92,58524833.5,89668065,89840542.51,233110400.2,90642920.75,77062616.52,76555486.83,90817461.24,107130942.4,73329826.31,80034298.79,68003814.77,95415829.49,43567102.6,56881213.67,76209793.02,78804617.13,93771224.1,84020093.5,81016603.42,59015497.72,74661481.71,58155130.78,75030099.76,98881326.67,54722754.37,55761267.06,83372339.15,86877048.59,84807253.03,89442195.38,71130201.82,65560395.83,77110574.84,58963550.47,46172028.02,59520195.95,47053993.33,47522510.13,50202165.55,51301113.12,52334784.92,49128210.85,51497192.13
CHEBI:192077,C5H11NO2,[O-]C(=O)C([NH2+]C)(C)C,"InChI=1S/C5H11NO2/c1-5(2,6-3)4(7)8/h6H,1-3H3,(H,7,8)",N-Methyl-a-aminoisobutyric acid,116.0715483,,,,315.3315,,,,,,,,,,,,62497944.39,38522971.31,83932035.22,47597663.86,49369942.63,42872919.02,55614717.79,49594415.92,42873474.92,32593540.62,47966760.68,56455735.81,29405471.65,34557448.17,58342473.12,90432495.56,46973096.79,62745144.57,60876714.75,27668775.07,48374569.13,55437067.22,43345656.88,41603637.8,44880648.53,35023254.24,51473132.18,48782886.76,57045649.14,59378354.27,53854688.98,57536651.23,46349743.12,46679025.7,64793018.6,49515377.41,58204507.61,56810817.28,58669532.91,44613552.38,52571140.86,66145924.46,38894827.62,50651774.89,43123991.08,54440409.16,55826166.82,54077422.66,44030125.77,41622822.92,47867337.24,40362296.71,44365587.31,55986907.92,58893186.55,43385639.42,42689888.69,53462523.63,50208431.33,50772342.41,49721505.5,51757815.77,59599442.95,61751894.08
CHEBI:42111,C3H6O3,C[C@@H](O)C(O)=O,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/t2-/m1/s1",D-Lactic acid,89.02432287,,,,241.862,,,,,,,,,,,,3660143943,990603212,2162189147,1706506429,979445597.7,1177510059,1089835049,1226750502,856001020.9,593529545.1,1299529680,993656244.4,1066864135,953704459,1211852195,1157101575,1106051856,536995322.7,509952922.6,516410409.7,881054123,1487794633,1370705528,990964150.2,1182013057,801308257.2,1729342865,929382598.7,1222909500,1355030680,913932436.5,896348745.6,1444999270,721084683.1,943614965.7,877327181.9,983097597.7,1057416770,1569661431,1191819985,1021269773,794690311.2,928612570.8,1086812970,670398474.9,1325058180,897926124.2,909041119.9,1065398049,867890083.7,1054006552,1087090954,718339534.6,1238529229,1155376557,1185686970,807137955.7,1219182135,1188362213,1189974204,1166952683,1167359097,1227804284,1161668342
CHEBI:17351,C18H32O2,CCCCC\C=C/C\C=C/CCCCCCCC(O)=O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",Linoleic acid,279.2324405,,,,356.9325,,,,,,,,,,,,2039076.434,1402904.536,2532077.533,1172456.287,1901870.397,1352252.724,3126262.723,1619959.541,1433183.804,3666230.544,1455955.906,1521044.395,1045815.919,1242691.411,1329296.408,1185886.685,1226021.851,3536394.999,2341160.342,2591990.178,2611387.416,1073870.271,1546748.71,3878722.882,852991.7946,1778865.146,1694517.726,1796751.557,1594008.817,1219773.545,2945993.425,1739618.582,1098218.331,2422396.351,2592285.713,1618594.875,966666.6305,1105167.877,1329448.501,1315765.535,1533300.672,1079901.189,1764512.246,2947867.782,3645248.025,1389539.197,1445531.215,2337023.927,2068097.314,1657559.649,3688217.114,1532232.674,6833318.377,3223014.713,1273792.535,1725372.668,1205041.785,2383869.418,3927952.209,1271962.919,3125013.822,1506813.606,3483681.697,822428.9043
CHEBI:15843,C20H32O2,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,"InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-",Arachidonic acid,303.2322504,,,,38.7181,,,,,,,,,,,,215813787,91612173.63,211661135.3,59934637.75,75810699.39,95838750.09,109707727.8,85957498.73,92811580.06,74190187.96,83581695.99,72257017.2,41674280.54,41322124.15,109870019.9,93921365.57,82640868.52,17722264.12,58917516.19,111882120.8,40429914.02,98494146.63,107748285.7,69092638.34,127704852.1,142720653.2,150292273.7,123910511.5,57974713.45,53763827.9,62068386.65,101862265.4,51365177.7,168418235,78419871.66,81375014.74,152280504,77167463.93,72188922.77,52881327.39,124613905.4,113339699.8,106314711.9,115301362.1,71524954.07,140343319.2,113184508.5,89183789.71,107398999.9,85560549.79,118152133.4,141197670.8,127593523.1,83012111.58,104827844.2,91478884.42,119200227.7,206961942.9,91979337.32,93560950.24,79937346.44,105601941.4,102261315.1,86218125.32
CHEBI:75108,C18H32O2,CCCCC\C=C\C\C=C\CCCCCCCC(O)=O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6+,10-9+",Linoelaidic acid,279.2332167,,,,492.3405,,,,,,,,,,,,1396268.344,781649.9982,1269021.949,618625.059,870831.4387,896301.2362,1007172.914,1007565.406,761402.52,855069.281,774579.727,887987.6339,672755.303,683857.807,1057449.337,752790.3896,771549.0947,926873.3218,1522705.961,855836.978,1749111.256,728048.6734,671236.3018,1044844.936,806944.1249,1060431.436,793872.8694,1150722.635,842685.3344,930878.8796,699787.5602,921334.2072,787858.9698,696113.1055,749347.9724,908923.844,790400.2689,953685.1471,806807.3992,1104659.924,1381960.159,961415.5412,1067024.159,859484.3499,1758523.496,924485.8946,828395.8377,706456.6436,1281748.346,852326.1446,703621.1304,1091823.148,1564943.603,811895.4209,825017.9247,769784.0541,811893.1678,1620856.524,1377018.281,979179.3236,1011607.736,1047616.89,868162.2373,451138.7254
CHEBI:32381,C10H18O2,OC(=O)CCCCCCCC=C,"InChI=1S/C10H18O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2H,1,3-9H2,(H,11,12)",9-Decenoic acid,169.12339,,,,51.90395,,,,,,,,,,,,27453358.73,10891855.74,37494869.25,9599696.678,36647886.56,44826398.06,24559346.44,23075585.19,27947554.95,33663242.86,20245446.88,53933280.05,10030065.95,17744640.7,8368987.006,32932140.17,36124325.5,19748260.05,29374502.7,31742792.12,14964642.61,16099096.68,28915083.26,17061322.51,12215850.07,29370987.03,51733826.92,55130313.14,22418493.74,35526795.65,25067936.12,79269735.45,10726726.5,71405284.17,22343756.35,63444741.63,34597205.17,45941059.8,14532081.59,18558718.24,44438389.74,23997991.1,47811093.49,34951345.12,61321157.57,32882716.3,35914957.84,34583957.69,57745289.38,94002767.51,50330667.06,66537170.27,161309666.4,45029086.94,46863565.85,62644405.89,57463024.57,40414195.88,36712360.33,38353847.93,36775265.5,41395536.15,39786717.97,40145545.67
CHEBI:30813,C10H20O2,C(CCCCCC)CCC(=O)O,"InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)",Capric acid,171.1391336,,,,38.8495,,,,,,,,,,,,6199068.218,4371177.846,9945849.927,8140112.462,12095845.86,7697285.677,6793928.802,5748900.056,8036038.444,7741257.8,10222837.16,5753827.937,9666395.517,8749647.844,5799171.087,10476042.22,17002810.04,2187661.381,4701366.137,4132119.183,11917596.89,9306089.059,6815352.888,22930971.67,6874137.023,7348348.555,9252139.23,10473271.81,6702656.267,8156290.922,8461021.09,35828865.26,4100739.776,13020698.45,7781651.465,11455495.62,9143582.315,14850011.61,9716811.09,7938602.748,9101734.469,8507615.528,7658537.859,8768878.269,14247202.85,8114464.952,7077066.723,14201393.4,8955080.215,11824058.6,27603215.92,28266822.65,17076325.38,8413659.409,10476206.93,29268716.24,15320603.46,7343998.195,6767600.016,7109143.105,6835639.124,8029636.955,7167855.884,8123891.626
